dataset,method,bandwidth,is_fallback_full,is_fallback_cv_mean,comp_time_sec,lscv_score,log_likelihood,mean_heldout_density,lscv_BETA_ROT_wins,loglik_p_value_wilcoxon (BETA_ROT >),density_p_value_wilcoxon (BETA_ROT >)
PctKids2Par,BETA_ROT,0.01521647718441726,False,0.0,0.00019259299733676016,-1.402966106583822,-6.370504834253089,1.376254421579726,,,
PctKids2Par,BETA_LSCV,0.010158960459230584,False,0.0,15.004318922998209,-1.40308781632074,-6.3731247743977075,1.3864124106537423,False,2.556415870468249e-18,1.0
PctKids2Par,LOGIT_SILV,0.5708986440287638,False,0.0,0.00011932499910471961,-1.369067397090664,-6.321810195021815,1.3155120517933483,True,1.0,1.9482799225479546e-18
PctKids2Par,LOGIT_LSCV,0.20525781292678877,False,0.0,7.1278016549986205,-1.4016440712179374,-6.369052775433805,1.3923846725653624,True,0.99999884521662,1.0
PctKids2Par,REFLECT_SILV,0.03839107280223562,False,0.0,7.868400280131027e-05,-1.4037459926799245,-0.14241884345998235,1.3943494207988647,False,1.0,1.0
PctKids2Par,REFLECT_LSCV,0.038879833449800366,False,0.0,71.635602508999,-1.4037372111849955,-0.14448127778803352,1.3947574234402225,False,1.0,1.0
PctPopUnderPov,BETA_ROT,0.005140156948413666,True,1.0,0.00010936599574051797,-1.5949226160341579,-9.83888942100079,1.5833829577154446,,,
PctPopUnderPov,BETA_LSCV,0.011247980220113021,False,0.0,14.31602173500869,-1.5913249167041807,-9.834508134945319,1.5630886916439053,True,1.0,1.9482799225479546e-18
PctPopUnderPov,LOGIT_SILV,0.7181552426028941,False,0.0,8.915799844544381e-05,-1.5470105863988888,-9.822266117523494,1.5223383539310076,True,1.0,1.9482799225479546e-18
PctPopUnderPov,LOGIT_LSCV,0.22716859230095834,False,0.0,7.133020150999073,-1.6018374971920757,-9.832834487397749,1.5962002986462542,False,1.0,1.0
PctPopUnderPov,REFLECT_SILV,0.042506517201597725,False,0.0,6.076399586163461e-05,-1.5588716693109532,-0.1403991249554971,1.5315752360519668,True,1.0,1.9482799225479546e-18
PctPopUnderPov,REFLECT_LSCV,0.012013568135022272,False,0.0,74.08719446700707,-1.606303473078916,-0.1393973248045861,1.6028748062236584,False,1.0,1.0
PctVacantBoarded,BETA_ROT,0.003063616042892879,True,1.0,0.00010873300197999924,-2.1065655206576137,-53.88141360564262,2.203485681399525,,,
PctVacantBoarded,BETA_LSCV,0.010721018885626314,False,0.0,13.314271209994331,-2.1406150320790918,-53.87634322745887,2.162960739019092,False,1.0,1.9482799225479546e-18
PctVacantBoarded,LOGIT_SILV,1.455005555892423,False,0.0,7.508700946345925e-05,-1.574597987767973,-53.837046725552334,1.8590048973002717,True,1.0,1.9482799225479546e-18
PctVacantBoarded,LOGIT_LSCV,0.36375138897310577,False,0.0,10.04868924699258,-2.2250205955677678,-53.87498313722072,2.2055609429380483,False,1.0,0.924182681298323
PctVacantBoarded,REFLECT_SILV,0.04051511158281549,False,0.0,7.187601295299828e-05,-2.561100267723365,-0.19191522176161105,2.5246265214415344,False,1.0,1.0
PctVacantBoarded,REFLECT_LSCV,0.010128777895703872,False,0.0,88.25089340400882,-2.6565240284071137,-0.18808698077846542,2.6235185315584717,False,1.0,1.0
