dataset,repetition,fold,method,log_likelihood,mean_heldout_density,is_fallback
PctKids2Par,1,1,BETA_ROT,-0.1496383634957331,1.3815288667231334,False
PctKids2Par,1,1,BETA_LSCV,-0.1508194870412598,1.3919136978715247,False
PctKids2Par,1,1,LOGIT_SILV,-0.09692964353192153,1.3008380086729532,False
PctKids2Par,1,1,LOGIT_LSCV,-0.14339375053049802,1.3964557945997211,False
PctKids2Par,1,1,REFLECT_SILV,-0.13980444979596693,1.3991931914381903,False
PctKids2Par,1,1,REFLECT_LSCV,-0.13983625246329617,1.399233826078835,False
PctKids2Par,1,2,BETA_ROT,-13.934496445497695,1.3898473225142665,False
PctKids2Par,1,2,BETA_LSCV,-13.934707792964026,1.399769435654311,False
PctKids2Par,1,2,LOGIT_SILV,-13.892642509380435,1.3362781532537156,False
PctKids2Par,1,2,LOGIT_LSCV,-13.927517575541565,1.4057662312892774,False
PctKids2Par,1,2,REFLECT_SILV,-0.14455439107210638,1.4080935629739002,False
PctKids2Par,1,2,REFLECT_LSCV,-0.14430581673203347,1.4070579271107946,False
PctKids2Par,1,3,BETA_ROT,-10.467882069004736,1.3763442597951547,False
PctKids2Par,1,3,BETA_LSCV,-10.469981199425773,1.3863750885497803,False
PctKids2Par,1,3,LOGIT_SILV,-10.432235251908228,1.3144201393122175,False
PctKids2Par,1,3,LOGIT_LSCV,-10.46656296876547,1.3895194493030738,False
PctKids2Par,1,3,REFLECT_SILV,-0.1319104288978705,1.3930941522846023,False
PctKids2Par,1,3,REFLECT_LSCV,-0.13187825075550955,1.39277878991368,False
PctKids2Par,1,4,BETA_ROT,-3.58891187210078,1.4076248713178623,False
PctKids2Par,1,4,BETA_LSCV,-3.5908253402855763,1.4177678126855584,False
PctKids2Par,1,4,LOGIT_SILV,-3.5446891027309495,1.3252278260608694,False
PctKids2Par,1,4,LOGIT_LSCV,-3.585455047266061,1.4223618374270637,False
PctKids2Par,1,4,REFLECT_SILV,-0.13765218157407358,1.4232904152377506,False
PctKids2Par,1,4,REFLECT_LSCV,-0.13743311801924668,1.4229265695871534,False
PctKids2Par,1,5,BETA_ROT,-3.6277395242119765,1.357883841998667,False
PctKids2Par,1,5,BETA_LSCV,-3.631211494190988,1.3680664007197694,False
PctKids2Par,1,5,LOGIT_SILV,-3.5657731000726587,1.2983422645095255,False
PctKids2Par,1,5,LOGIT_LSCV,-3.624094850576985,1.374545726548161,False
PctKids2Par,1,5,REFLECT_SILV,-0.16048731560783802,1.3757595596177845,False
PctKids2Par,1,5,REFLECT_LSCV,-0.1858119582272808,1.3773914086188088,False
PctKids2Par,1,6,BETA_ROT,-10.542034412306839,1.3729855687591446,False
PctKids2Par,1,6,BETA_LSCV,-10.545354886556938,1.3827008958405986,False
PctKids2Par,1,6,LOGIT_SILV,-10.496508916134747,1.3209249984983458,False
PctKids2Par,1,6,LOGIT_LSCV,-10.536753548555941,1.3893793241671024,False
PctKids2Par,1,6,REFLECT_SILV,-0.14024935613985057,1.3948198201647606,False
PctKids2Par,1,6,REFLECT_LSCV,-0.15464866841523467,1.3995857598088162,False
PctKids2Par,1,7,BETA_ROT,-7.059134308667313,1.3650363885166459,False
PctKids2Par,1,7,BETA_LSCV,-7.062209027218555,1.3750441151217678,False
PctKids2Par,1,7,LOGIT_SILV,-7.014531831867623,1.3273817910969943,False
