Dataset,Method,LSCV_Score,Log_Likelihood,Computation_Time_Sec,Selected_Bandwidth,Fallback_Rate,P_Value_LSCV_vs_ROT,P_Value_LogLik_vs_ROT
PctKids2Par,BETA_LSCV,-1.4030878163207396,-6.373124774397708,15.74021699395962,0.0101589604592305,0.0,1.0,2.556415870468249e-18
PctKids2Par,BETA_ROT,-1.4029661065838197,-6.370504834253089,0.0002384569961577,0.0152164771844172,0.0,,
PctKids2Par,LOGIT_LSCV,-1.4016440712179374,-6.369052775433805,7.827274941955693,0.2052578129267887,0.0,1.0,0.99999884521662
PctKids2Par,LOGIT_SILV,-1.369067397090664,-6.321810195021815,0.0002037419471889,0.5708986440287638,0.0,1.9482799225479546e-18,1.0
PctKids2Par,REFLECT_LSCV,-1.4037372111849955,-0.1444812777880335,78.35894040297717,0.0388798334498003,0.0,1.0,1.0
PctKids2Par,REFLECT_SILV,-1.4037459926799245,-0.1424188434599823,8.353195153176785e-05,0.0383910728022356,0.0,1.0,1.0
PctPopUnderPov,BETA_LSCV,-1.59132491670418,-9.83450813494532,16.66505893296562,0.011247980220113,0.0,1.9482799225479546e-18,1.0
PctPopUnderPov,BETA_ROT,-1.5949226160341574,-9.83888942100079,0.0001812310656532,0.0051401569484136,1.0,,
PctPopUnderPov,LOGIT_LSCV,-1.6018374971920757,-9.832834487397747,9.9257276939461,0.2271685923009583,0.0,1.0,1.0
PctPopUnderPov,LOGIT_SILV,-1.5470105863988888,-9.822266117523494,0.0001005199737846,0.7181552426028941,0.0,1.9482799225479546e-18,1.0
PctPopUnderPov,REFLECT_LSCV,-1.606303473078916,-0.1393973248045861,102.52802560501732,0.0120135681350222,0.0,1.0,1.0
PctPopUnderPov,REFLECT_SILV,-1.5588716693109532,-0.1403991249554971,8.768995758146048e-05,0.0425065172015977,0.0,1.9482799225479546e-18,1.0
PctVacantBoarded,BETA_LSCV,-2.140615032079091,-53.87634322745887,15.32489040598739,0.0107210188856263,0.0,1.9482799225479546e-18,1.0
PctVacantBoarded,BETA_ROT,-2.106565520657616,-53.88141360564262,0.0001946359407156,0.0030636160428928,1.0,,
PctVacantBoarded,LOGIT_LSCV,-2.225020595567768,-53.87498313722072,13.660519088967703,0.3637513889731057,0.0,0.924182681298323,1.0
PctVacantBoarded,LOGIT_SILV,-1.574597987767973,-53.837046725552334,0.0001381550682708,1.455005555892423,0.0,1.9482799225479546e-18,1.0
PctVacantBoarded,REFLECT_LSCV,-2.6565240284071137,-0.1880869807784654,124.73305629997049,0.0101287778957038,0.0,1.0,1.0
PctVacantBoarded,REFLECT_SILV,-2.561100267723365,-0.191915221761611,8.578493725508451e-05,0.0405151115828154,0.0,1.0,1.0
